"time"	"v"	"nai"	"nass"	"ki"	"kss"	"cai"	"cass"	"cansr"	"cajsr"	"m"	"hf"	"hs"	"j"	"hsp"	"jp"	"mL"	"hL"	"hLp"	"a"	"iF"	"iS"	"ap"	"iFp"	"iSp"	"d"	"ff"	"fs"	"fcaf"	"fcas"	"jca"	"nca"	"ffp"	"fcafp"	"xs1"	"xs2"	"xk1"	"Jrelnp"	"Jrelp"	"CaMKt"	"IC1"	"IC2"	"C1"	"C2"	"O"	"IO"	"IObound"	"Obound"	"Cbound"	"D"	"qNet"	"INa"	"INaL"	"Ito"	"ICaL"	"IKr"	"IKs"	"IK1"	"dv"
"1"	0	-88.0145	6.46961	6.46967	145.501	145.501	7.45321e-05	7.30454e-05	1.37897	1.37944	0.00733485	0.698542	0.698542	0.698542	0.455526	0.698541	0.000187813	0.513396	0.307923	0.00100025	0.999555	0.871715	0.000509652	0.999555	0.905466	2.33382e-09	1	0.971897	1	1	1	0.0015391	1	1	0.130941	0.000192517	0.996756	1.46507e-07	1.83132e-07	0.00325232	0.999637	6.83208e-05	1.80145e-08	8.26619e-05	0.00015551	5.67623e-05	0	0	0	0	0	-0.00245684761726932	-0.000322724603538383	-5.7700673252705e-07	-1.8227714308905e-07	-2.16074667578449e-07	-2.38530117476539e-06	-0.0090114355933788	80.0000317369851
"2"	1	-38.9087768657351	6.47019659388164	6.46970494362224	145.503412737372	145.501753130979	7.45306205829135e-05	7.30572855534599e-05	1.3789634793996	1.37943532257752	0.299674599857787	0.324566007333037	0.595324430543707	0.657887220884794	0.431093875538699	0.670431190742682	0.323889711181541	0.511182374508722	0.307471040190633	0.00586498896235948	0.968662244843223	0.871649888417635	0.00300813688021718	0.973582384709191	0.905395862662948	3.72405852568679e-05	0.999977860300088	0.971924460385692	0.999915217448679	0.99999391754854	0.999991893687629	0.00153922111830731	0.999991105973833	0.999965643077593	0.130882341904744	0.00032531227435428	0.997056843310385	4.44280916466155e-05	4.47835676543673e-05	0.00325075299902956	0.990564106136003	0.00483202730476066	2.44832857225879e-05	0.00424031371689746	0.000217166089908625	0.000122176481206905	0	0	0	0	0.473588691982095	-52.625731000528	-0.394231140238067	0.00539314312065587	-0.0013577556344621	0.000496494585267281	1.50051734237656e-05	0.140204739310326	52.8149045739474
"3"	2	33.989728137372	6.47459197091759	6.47151783185196	145.50338476694	145.502068119793	7.45505488804696e-05	0.000138402409941228	1.37895597551055	1.36359744754555	0.999399993639874	5.64291259111329e-09	0.355929966206533	0.519324048174331	0.363167745950627	0.57016791686512	0.999999477102145	0.508633505938212	0.306959112342493	0.229341104743177	0.797644918799172	0.846714904497402	0.180854702210901	0.869054544439959	0.891406432057999	0.688172542196355	0.921838218991833	0.971304572531608	0.905899463125909	0.996468066720918	0.989206911533169	0.00364018064089281	0.967969889721109	0.96123619102099	0.131609257531421	0.00377756163023195	0.997861918321433	0.138009031272005	0.139759119587498	0.00324937974356739	0.085084519766927	0.0726069648215536	0.727509992074663	0.111314243360671	0.00229411483186994	0.00119043815881553	0	0	0	0	-0.752994448679353	-6.69657351403358	-0.479268386799616	0.449506273527384	-1.68091457551091	0.0130357417152928	0.000505161098393718	0.000161859736705162	7.87889738589924
"4"	3	38.9476721269891	6.47481120789694	6.47337231445979	145.503319663284	145.501675772719	7.48121782750273e-05	0.000529499920953403	1.37892975427139	1.27693510546232	0.999645303844297	2.04133811787747e-09	0.174857792089541	0.382200744547902	0.286559019213725	0.462174803986399	0.999999818009705	0.506096686049855	0.306447939961891	0.478355658749267	0.642648500213138	0.812239595460791	0.399908396946176	0.766458206272316	0.870119458471303	0.939370955690716	0.81036274669112	0.970359547137646	0.788919145782928	0.989537063651934	0.976105029362839	0.199131655236581	0.919330673889368	0.909517606629528	0.132621778820975	0.00960179636774562	0.998600789853557	0.321288487992863	0.332286729979396	0.0032522379561651	0.0275591373275441	0.185974866686626	0.539016401222372	0.229504583091731	0.00927948471640835	0.00866579996981851	0	0	0	0	-2.20881146873727	-2.36836328484599	-0.419107484566149	0.8271734682883	-1.64678935152067	0.0548716427730472	0.00135193219485077	9.99869983232802e-05	2.87055078467272
"5"	4	40.7711713404478	6.47488971549448	6.4746337928859	145.503230811409	145.501286805992	7.56877377891866e-05	0.00121595666240489	1.37885235803919	1.15684353733831	0.999707112909068	1.50153948059697e-09	0.0825426768853846	0.278688025431988	0.223123475968177	0.372264827683258	0.999999872934868	0.503572518495955	0.305937618809997	0.637823989890369	0.517492733629598	0.778973053003844	0.547071595052305	0.672379527733248	0.848395445127135	0.988279071177377	0.709848101169705	0.969404791479756	0.685899242529614	0.981806616992432	0.963176677521817	0.624005089777487	0.871898906912177	0.860007504733872	0.133641498948655	0.0161850753932296	0.999101983064794	0.372569503542243	0.395795503715526	0.00326923999123261	0.0142534515146924	0.261753868587908	0.376722547387167	0.306192093649593	0.0170410032120902	0.0240373086630497	0	0	0	0	-3.1793205674429	-0.983538926866026	-0.391663247997132	0.961577699996457	-1.47243326555841	0.102214811384635	0.00233549274275211	8.3740004710114e-05	1.07059693897091
"6"	5	41.4431296657223	6.47492807272073	6.47552509660194	145.503131564756	145.501011107439	7.74409962594287e-05	0.00204365202713398	1.3787086403883	1.04284423634862	0.999727040190167	1.34118990578244e-09	0.0383697920909688	0.202525296971215	0.172841846287958	0.299153277089634	0.999999888667511	0.501060940251505	0.305428147480776	0.73361972037797	0.416638869891077	0.747017298003217	0.637824873917257	0.588785840527965	0.826907810469508	0.997724855245872	0.62113372696732	0.96844832027485	0.596067637427378	0.973874894493148	0.950419559242739	0.841325470565896	0.826559282174462	0.813048266826814	0.134662702383932	0.0230552193641722	0.999427920977894	0.350353089845402	0.384218690439815	0.00330460890260654	0.00881540090478708	0.308477414869724	0.260276111669633	0.352716800627521	0.0239211363156776	0.0457934086271578	0	0	0	0	-3.86685058659608	-0.472459516117037	-0.378677845808012	0.965240409233639	-1.33456611139848	0.144231804740394	0.00338026423102407	7.84501640051844e-05	0.376561904739643
"7"	6	41.6551634416711	6.47495527452241	6.47617576982957	145.503029839386	145.500832825346	8.01722285071693e-05	0.00287979337437445	1.3785051632074	0.947766369331307	0.999733097988904	1.29397938361568e-09	0.0177379980947224	0.147002910707314	0.133645376665795	0.24020567028047	0.999999893257054	0.498561888546757	0.30491952456191	0.789536215331917	0.335420836466877	0.716356681550859	0.691583669348225	0.515267835429419	0.805863250856097	0.999545218689554	0.543315181799741	0.967491978361614	0.517929124415489	0.965922108753811	0.937831406829014	0.932238703336739	0.783466981424625	0.768610376915429	0.135683598798675	0.0299986796177524	0.999636517903445	0.304133111119926	0.345519480903	0.00335533581842759	0.00586079389681907	0.334942520898581	0.17919659166284	0.378423939435026	0.0295870965209662	0.0719893306002675	0	0	0	0	-4.41384581261458	-0.252563940785688	-0.372146567889271	0.909871530866341	-1.2266661326172	0.178686775574019	0.00445701964439318	7.68590503605833e-05	0.0880095345405177
"8"	7	41.6727757469734	6.4749801751205	6.47665754457807	145.50292970556	145.500721643657	8.38582890722104e-05	0.00363555294199486	1.37825785707963	0.871893225799533	0.999733682898801	1.28969948911481e-09	0.00818885974678064	0.1066707834169	0.103290458889511	0.192834922050115	0.999999893695412	0.496075300912226	0.304411748641566	0.821576768823449	0.270031324207714	0.686950878375453	0.722569915949201	0.450861643959897	0.785330178973615	0.999895773507506	0.47520565095217	0.966536388294489	0.450018869127793	0.958013873137088	0.925409982433755	0.969579526596874	0.742595989717968	0.726591643434165	0.136703506285317	0.0369229731438583	0.999769196065171	0.25533597690413	0.301166508213856	0.00341703734200119	0.00401840350852352	0.347630066325517	0.123228246570377	0.390020140724903	0.0341584994290168	0.100944916456162	0	0	0	0	-4.89569361534738	-0.144795833464066	-0.368588561743746	0.833247463016023	-1.1407334835736	0.206323066123945	0.00555523926937891	7.67371817123293e-05	-0.0353813626819831
"9"	8	41.6082432813457	6.47500542196149	6.47701418404195	145.502833006617	145.500653217694	8.83960642790391e-05	0.00425772338197141	1.37798353603965	0.812127170717533	0.999731981643948	1.30322344996568e-09	0.00378195367652102	0.0774108865331962	0.0798407148609812	0.154815152139091	0.999999892418096	0.493601115185888	0.30390481830966	0.839614674826843	0.217390253266881	0.658753163663259	0.739949303658232	0.394523219200117	0.765327103016372	0.9999630478921	0.415644536246252	0.965581797639233	0.391016678093457	0.95017624862412	0.9131530778015	0.985079382221923	0.703864059664518	0.686872644322493	0.137722143117854	0.043788917886541	0.99985340440525	0.211114040855785	0.258859820253228	0.00348617272518032	0.00279180439322877	0.351076759075992	0.0847138133137184	0.39217207808903	0.0378610223412613	0.131384795801269	0	0	0	0	-5.3509732536286	-0.0864917429481516	-0.36645251351161	0.753519817762917	-1.07197234852503	0.228573073628348	0.00667081260856279	7.72286500928319e-05	-0.0856710490410941
"10"	9	41.5126419585227	6.47503160009108	6.47727524755604	145.502740396005	145.500610868209	9.36355166149348e-05	0.00472229517445049	1.37769678169006	0.765134963661078	0.99972938891185	1.32378140764152e-09	0.00174862732801756	0.0561904714821525	0.0617378312827849	0.124311849389066	0.999999890457762	0.491139269514112	0.30339873215822	0.849540574472302	0.175013306211826	0.631715628808852	0.74934711112546	0.345267286267753	0.745852260885505	0.999975638883695	0.363574020699721	0.964628307231547	0.33975952387519	0.942419177369242	0.901058513907082	0.991653366238728	0.667170899604337	0.649331933156256	0.138739395328991	0.0505813195156085	0.999906827491034	0.173219263577268	0.220969116369449	0.00356018514572353	0.00194970757327552	0.348410161848027	0.0582410624833485	0.388092000905564	0.040907876470285	0.162399463734	0	0	0	0	-5.79939549294872	-0.0528146072613105	-0.365006306458725	0.678603268161849	-1.017106405897	0.246785200441525	0.00780144848606149	7.79569332250908e-05	-0.10170801966932
