"time"	"v"	"nai"	"nass"	"ki"	"kss"	"cai"	"cass"	"cansr"	"cajsr"	"m"	"hf"	"hs"	"j"	"hsp"	"jp"	"mL"	"hL"	"hLp"	"a"	"iF"	"iS"	"ap"	"iFp"	"iSp"	"d"	"ff"	"fs"	"fcaf"	"fcas"	"jca"	"nca"	"ffp"	"fcafp"	"xs1"	"xs2"	"xk1"	"Jrelnp"	"Jrelp"	"CaMKt"	"IC1"	"IC2"	"C1"	"C2"	"O"	"IO"	"IObound"	"Obound"	"Cbound"	"D"	"qNet"	"INa"	"INaL"	"Ito"	"ICaL"	"IKr"	"IKs"	"IK1"	"dv"
"1"	-1	-88.0145	6.46961	6.46967	145.501	145.501	7.45321e-05	7.30454e-05	1.37897	1.37944	0.00733485	0.698542	0.698542	0.698542	0.455526	0.698541	0.000187813	0.513396	0.307923	0.00100025	0.999555	0.871715	0.000509652	0.999555	0.905466	2.33382e-09	1	0.971897	1	1	1	0.0015391	1	1	0.130941	0.000192517	0.996756	1.46507e-07	1.83132e-07	0.00325232	0.999637	6.83208e-05	1.80145e-08	8.26619e-05	0.00015551	5.67623e-05	0	0	0	12	0	-0.00234923107104314	-0.000305390542538998	-3.38069471375109e-07	-1.77326462778848e-07	-2.16074667578449e-07	-2.38530117476539e-06	-0.00842873643141664	79.999323843054
"2"	0	39.2239778500275	6.47252610172583	6.46991845054568	145.505871026916	145.502010950648	7.4532021074936e-05	7.50936411019941e-05	1.37896347657166	1.37901156329915	0.986193350339771	0.00463432731890825	0.549178710037883	0.630816944885116	0.419674380782224	0.651412222016812	0.989080023871965	0.511174639601871	0.307469903178512	0.0609965536381234	0.923761081717457	0.865929018796464	0.0456955936279218	0.94654557562965	0.90200851071498	0.238036518437263	0.982801252076848	0.971778687784603	0.974171557953138	0.999039548769071	0.996748791667868	0.0015506778557029	0.993084648781573	0.989584836010941	0.131082832210733	0.00118349072150737	0.997203114089939	0.0128198886431528	0.0128680763081144	0.00325075464512992	0.049082907535291	0.00816488280006348	0.915423140464849	0.0269113866176923	0.000263443566896291	0.000154501960973824	3.34744406842289e-09	6.7211299893987e-09	1.59919488653959e-13	12	0.207906094396563	-18.6917350367529	-0.403646837392238	0.0820445531726163	-0.445181991718287	0.00156119674883785	0.000165019625424318	9.09094448736663e-05	98.9287166987491
"3"	1	80.084331564509	6.47260219994881	6.47088798909453	145.508221540607	145.503165629347	7.45949921756871e-05	0.00011906497936206	1.37895531891715	1.3676376161848	0.999994584231452	2.3412902500043e-12	0.146603248686337	0.427038090373989	0.27022321236377	0.498658621982932	0.999999999928513	0.508625145477018	0.306957880147512	0.510205422595065	0.742370207071031	0.830077632696448	0.491465400888144	0.811108355701617	0.875465932975531	0.855636642604405	0.853158287019965	0.970808552183888	0.844707880523051	0.989309757295756	0.983547015372677	0.00391295516301146	0.93845149916481	0.934719860958062	0.132135519963897	0.0341509717496815	0.998614025481332	0.0383413133072361	0.0395913993228857	0.00324947024894815	3.93854217300547e-05	0.14639513532247	0.655772555337204	0.18714176779858	0.0054247816761901	0.00522646576566888	7.60210732381036e-08	1.05669273185757e-07	2.29597478297638e-12	12	0.398036797400734	-0.0958202805594441	-0.0191693126432826	0.773127316492747	-0.124173054650301	0.0424740484351138	0.00647930065584688	1.62509159648178e-06	-2.28437230299059
"4"	2	77.6201280412406	6.47253673029041	6.4712961319735	145.508083882094	145.503593346183	7.47246156864816e-05	0.000183336418048087	1.37894250394269	1.35125931127208	0.9999930383671	3.50719505546772e-12	0.0330903665964444	0.283855817887334	0.164529359888256	0.376979598601862	0.99999999988558	0.506088366981933	0.306446709774398	0.751528149016987	0.596392929592486	0.795671573583777	0.736174975155537	0.692100751756711	0.849016015691424	0.972715821866474	0.739754672271108	0.969838252572335	0.732267091258997	0.979476434727936	0.970520094299087	0.0190293741173367	0.886410871229649	0.882808811225902	0.133192302423637	0.0743998689935352	0.999362707846087	0.0507577246708786	0.0535607086433827	0.00324902567576161	4.0052918443239e-05	0.24119575767183	0.445267576615319	0.280569329808076	0.0123596972793056	0.0205668288712443	5.6468883540956e-07	4.65140568463726e-07	2.08669292489833e-11	12	1.20192968009261	-0.0395606932905329	-0.0420408484269321	0.959279328150511	-0.149325285110167	0.0953530320972031	0.0140089724911971	2.07741492086051e-06	-2.55225259926963
"5"	3	75.0872070118026	6.47247681485157	6.47147009949743	145.507945817624	145.503857849965	7.4931051195363e-05	0.000266719213074344	1.37892318142261	1.33076064188227	0.999991002898942	5.31343141709773e-12	0.00797069932121101	0.189550799616289	0.102365223277316	0.285890619822288	0.999999999814913	0.50356424072282	0.305936390642407	0.868832144424198	0.479140120214511	0.762692816470684	0.854065300585425	0.590875092440936	0.823447837302901	0.99484099785031	0.641467358261739	0.968868935156566	0.634796728508707	0.96974535427927	0.957665712687303	0.0742981536033678	0.837278253904114	0.833782401512455	0.134247118035008	0.108513209500671	0.999698701557666	0.0617243516314719	0.0663001942796749	0.00324996582892415	4.11688635033054e-05	0.298499612765499	0.302353659790607	0.3367204305844	0.0184466975230701	0.0439357693256325	1.84318369505401e-06	1.0908913218804e-06	8.6761122021327e-11	12	2.08607578522726	-0.0169903155868257	-0.065086099946997	0.939584388252487	-0.16387381607668	0.140136556172197	0.0202646679992316	2.67210654426622e-06	-2.48519107322717
"6"	4	72.6799085302713	6.47242145932483	6.47155018665295	145.50781436404	145.504069641917	7.52349171750943e-05	0.000367362239378541	1.37889552335352	1.3070203742699	0.999988518757634	7.88931876074542e-12	0.0020407503937083	0.127173197130578	0.0649942721895312	0.217510728313376	0.999999999707613	0.501052703596553	0.305426921334007	0.925424380288576	0.384957868613474	0.731082485070849	0.909730551868105	0.504766769038741	0.798741137108658	0.999023893406802	0.556285212061773	0.967900604925895	0.550304302466608	0.960117181129948	0.944981585280104	0.203329605307804	0.790895296939577	0.787480875841099	0.135299882607803	0.137634560629248	0.999853753222546	0.0703474009932152	0.0768012421862644	0.00325292918952253	4.34089294868663e-05	0.330792348157444	0.205322234289502	0.367947570936747	0.0232501136041231	0.0726384807159943	4.1798451007157e-06	1.93629497370098e-06	2.41185134485854e-10	12	2.91967486635689	-0.00927621961356583	-0.0865005746958834	0.854347374874813	-0.177906152078411	0.174019913364743	0.0255083812622783	3.39307514100583e-06	-2.32286974691963
"7"	5	70.4461933914157	6.47237007677411	6.47160762756667	145.507691525378	145.504235277917	7.56546619612297e-05	0.000482502419692983	1.37885794944021	1.28100135247241	0.99998560220616	1.1390102320626e-11	0.000551833933537594	0.0857147208077127	0.0420255946985325	0.166006176448161	0.999999999553017	0.498553692813307	0.304918300434	0.952098301780063	0.309304416432757	0.700784113808442	0.934637772807191	0.431495439131278	0.774871892678885	0.99981527247747	0.482462278567453	0.966933268103511	0.477062366801117	0.950592717008729	0.932465457038447	0.392025366772014	0.747111356137698	0.743753326333207	0.136350543884813	0.162792482170349	0.999927300239338	0.0766783974345044	0.0850073190880683	0.00325853848734374	4.06495013613492e-05	0.346500317317781	0.139444282185583	0.382605153894133	0.0269380409742181	0.104461133867518	7.74267017039464e-06	2.95207287661383e-06	5.31173765432765e-10	12	3.65796251591307	-0.00579130808501877	-0.105909676918671	0.756443196923049	-0.193538375421091	0.198819745661121	0.0299729706208053	4.23384647512876e-06	-2.14467375045341
"8"	6	68.3882033140564	6.47232239342187	6.47166982964606	145.507577128411	145.50435744771	7.62057423830363e-05	0.000608989690636957	1.37880925934071	1.2535780202454	0.999982263368706	1.59724378335945e-11	0.000156649277328251	0.0580257696691082	0.0276175416722852	0.127078670856307	0.999999999339095	0.496067145900784	0.304410526529643	0.963899049618295	0.248532240034306	0.671743561085121	0.944187917157609	0.369120254034891	0.751814558710813	0.999965011747667	0.418483862894593	0.965966932299046	0.413573375743762	0.94117291726679	0.920115102943235	0.579396039133862	0.705783451619211	0.702457218090126	0.13739906579004	0.184794450075855	0.999963079555789	0.0808935393012928	0.0910091371242126	0.00326730918820228	3.86858729834991e-05	0.351302033133679	0.0947120515974004	0.386342118421008	0.0297907249295257	0.137797936463556	1.26227575779712e-05	4.09883243367484e-06	1.0066523605071e-09	12	4.29124973648671	-0.00371906353900704	-0.123380987229971	0.664414289102165	-0.210216058177856	0.217018216325564	0.0338376771923442	5.19066588567007e-06	-1.97308750934591
"9"	7	66.4959069125939	6.47227829145891	6.47174331690364	145.507470287263	145.504446942121	7.69000971296451e-05	0.000743301171692237	1.37874871736647	1.22552861248742	0.999978513663809	2.17970474502695e-11	4.63834106928262e-05	0.0394451409696718	0.0184115510595278	0.097557287199819	0.999999999053046	0.493593000693873	0.303903598210448	0.968228564096649	0.199711801712821	0.643908903793579	0.945977162235074	0.315992918127574	0.729542933646092	0.999993358150324	0.363036134790076	0.965001606538291	0.358538906603331	0.931858867550024	0.907928327286978	0.724029023210808	0.666775951243962	0.663457895886411	0.138445422732811	0.204257306880219	0.999980888098327	0.0831301521437927	0.0948779276994401	0.0032795929600566	3.58373452378879e-05	0.349020324167295	0.0643371824291893	0.382974150950865	0.0320582994043066	0.171550271780679	1.88571259918428e-05	5.34809270642478e-06	1.71854472952488e-09	12	4.82409267591637	-0.00236350284043643	-0.139091120162201	0.583617067986193	-0.226784593689588	0.230710867003764	0.0372370878029929	6.25912710376617e-06	-1.81373367076505
"10"	8	64.7561159694327	6.47223767975016	6.47182650147498	145.507370031971	145.504515697219	7.77456498899702e-05	0.000881590638826449	1.37867609895125	1.19753902433173	0.999974370083653	2.90099311465877e-11	1.42923946598733e-05	0.0269201842277508	0.0124320864768638	0.0750963288081706	0.999999998681915	0.491131195339055	0.303397514068312	0.968758055063095	0.160490749372987	0.617230345835544	0.943789164016574	0.270715417828307	0.70803055071568	0.999998675248579	0.31497991664123	0.964037301188395	0.310833360496691	0.922651737251514	0.895902963502821	0.821291335313926	0.629960226515348	0.626628148655767	0.139489597494663	0.221653102778324	0.999989933199708	0.0835523449780372	0.0967276208474711	0.00329555662592184	3.23718716052263e-05	0.34222405894496	0.0437108002066246	0.375073402064825	0.033931345166188	0.2049951652708	2.64464856204362e-05	6.68028663718303e-06	2.71755251867982e-09	12	5.26623310683309	-0.00147564697643506	-0.153234025016161	0.514532629137446	-0.242609841317518	0.241440305476903	0.0402723702290789	7.43348333519716e-06	-1.66819765379469
